.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;Vydano
--DATA--
00010$;737794$;00032$;Procter & Gamble Rakovnik$;3323$;iletky Gillete Mach 3 Náhrada 4ks$;ks$;173.42$;10
00011$;737794$;00986$;GENEXVS spol.s .r.o.$;3453$;Koš nášlapnı +vloka 15L Goliáš hnìdı$;ks$;185.73$;20
00011$;737794$;00986$;GENEXVS spol.s .r.o.$;2731$;Koš nášlapnı +vloka 15L Goliáš bílı$;ks$;185.73$;20
00011$;737794$;00986$;GENEXVS spol.s .r.o.$;2483$;Koš nášlapnı +vloka 15L Goliáš béovı$;ks$;185.73$;10
00012$;737794$;00167$;GlaxoSmithKline spol.s r.o.$;4137$;Ustní voda Odol classic 500ml$;ks$;44.36$;8
00013$;737794$;00253$;Colgate - Palmolive$;3258$;Mıdlo Palmolive Heømánek/Camellia 90g /6$;ks$;6.60$;216
00013$;737794$;00253$;Colgate - Palmolive$;5418$;SG Palmolive 250ml Cherry$;ks$;28.28$;6
00013$;737794$;00253$;Colgate - Palmolive$;5269$;Zubní pasta Colgate Triple Action 100ml$;ks$;17.60$;48
00014$;737794$;01021$;Madel$;4357$;Desinfekto 5l dezinfekce povrchy bezchlo$;kan$;116.81$;12
00015$;737794$;00255$;Freudenberg PPD k.s.$;2735$;Mop NN VILEDA Super Mocio modrı$;ks$;107.64$;12
00015$;737794$;00255$;Freudenberg PPD k.s.$;5543$;Smeták/hlavice Vileda Classic 2v1+hul$;ks$;112.10$;12
00016$;737794$;00465$;Osapo s.r.o.$;2855$;Brıle VS 160/Basic èiré$;ks$;19.73$;30
00016$;737794$;00465$;Osapo s.r.o.$;3481$;Gumové rukavice kys standard l/èer è.9$;pár$;50.61$;30
00016$;737794$;00465$;Osapo s.r.o.$;0438$;Respirátor bílı obyè CABOT-Manly$;ks$;0.95$;100
00016$;737794$;00465$;Osapo s.r.o.$;1972$;Respirátor s ventilkem 731/1031 FFP2NRD$;ks$;32.40$;150
00016$;737794$;00465$;Osapo s.r.o.$;1225$;Rukavice komfort PESTRE- Robin 2055 è.10$;pár$;19.63$;36
00016$;737794$;00465$;Osapo s.r.o.$;4220$;Zástìra jednorázová igelit.100ks 80x135c$;bal$;116.93$;20
00017$;737794$;00021$;Benckiser s.r.o. Praha$;2267$;Cilit Bang 750ml MR vodní kámen oranovı$;ks$;47.21$;48
00017$;737794$;00021$;Benckiser s.r.o. Praha$;2311$;Louh Tiret 500ml èistiè odpadu$;ks$;23.16$;48
00017$;737794$;00021$;Benckiser s.r.o. Praha$;3117$;Osvìovaè dávkovaè FreshMatic stroj+vùnì$;ks$;97.68$;4
00017$;737794$;00021$;Benckiser s.r.o. Praha$;1326$;Osvìovaè elek.Airwick NN prádlo/tyrk19m$;Ks$;48.31$;6
00018$;737794$;00021$;Benckiser s.r.o. Praha$;0768$;Finish lesk 800ml$;ks$;85.47$;72
00018$;737794$;00021$;Benckiser s.r.o. Praha$;0178$;Finish prášek 2,5kg$;ks$;91.70$;120
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5046$;Houbièka nádobí viskozní 12x7x1,5cm$;ks$;6.80$;36
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;2698$;Hul teleskop 300cm závit hrubı+kolnus!!$;ks$;44.00$;10
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;0423$;Chòapka bavlnìná 2ks magnet+poutko mix$;bal$;28.20$;50
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;0930$;Kartáè silnièní 40cm Fave s holí 140c$;ks$;75.00$;12
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;1532$;Kartáèek na ruce PE s dradlem Kamil$;ks$;8.50$;14
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;3570$;Kolíèky na prádlo DR 20ks$;bal$;7.90$;60
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5582$;Koš PVC 12L kulatı plnı šedı$;ks$;32.90$;10
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5754$;Koš vıklopnı 25L kulatı Oskar 53x30cm$;ks$;99.00$;12
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;0744$;Mop KOMPLET plochı inylkovı + hul$;ks$;65.08$;20
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;1527$;Mop KOMPLET s holí Bentom hrubı z.+prová$;ks$;66.90$;15
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;3271$;Oprašovák stropní s teleskop.tyèí 150cm$;ks$;47.36$;24
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;1657$;Pemza s kartáèkem Natural$;ks$;10.90$;12
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;0805$;Roho textilní 60x40cm Clin gum.kraj$;ks$;49.50$;10
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;1893$;Roho textilní 75x45cm Excelent gum.kraj$;ks$;71.00$;10
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5210$;Smetáèek PE obyè. YA  26x3,5cm$;ks$;11.20$;24
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5775$;Smeták PE závit hrubı Viktoria 30cm$;ks$;17.03$;72
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;5381$;Vìdro PVC 10l mìrka Jolly$;ks$;27.90$;60
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;1705$;WC souprava obyè Streè bílá 13x13x39cm$;ks$;12.00$;100
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;2049$;Zvon na vılevky - obyè  v.33x10cm$;ks$;26.90$;25
00019$;737794$;00975$;Velkoobchod FAVE s.r.o.$;3166$;\o\Hadr švédskı mikro 50x60  380g$;ks$;30.90$;10
00020$;737794$;00116$;Primo group s.r.o.$;2722$;Osvìovaè spray Brait 300m suchı Alaska$;ks$;21.73$;48
00020$;737794$;00116$;Primo group s.r.o.$;3222$;Osvìovaè spray Brait 300m suchı Glamour$;ks$;22.00$;48
00020$;737794$;00116$;Primo group s.r.o.$;3347$;Osvìovaè spray Brait 300m suchy Purple$;ks$;22.00$;48
00020$;737794$;00116$;Primo group s.r.o.$;2930$;Osvìovaè spray Brait 300m suchı Relaxin$;ks$;22.00$;48
00020$;737794$;00116$;Primo group s.r.o.$;0925$;Písek tekutı Primona 600g$;ks$;10.50$;300
00020$;737794$;00116$;Primo group s.r.o.$;3183$;SG Clear Body 500ml Cashmere$;ks$;15.90$;42
00020$;737794$;00116$;Primo group s.r.o.$;3214$;SG Clear Body 500ml Lemon$;ks$;15.90$;14
00020$;737794$;00116$;Primo group s.r.o.$;1708$;Šampon Primo 1l Kopøiva Clear$;ks$;15.00$;20
00020$;737794$;00116$;Primo group s.r.o.$;1356$;Šampon Primo 500ml Bøíza Clear$;ks$;10.50$;90
00020$;737794$;00116$;Primo group s.r.o.$;1419$;Šampon Primo 500ml Kopøiva Clear$;ks$;10.50$;90
00020$;737794$;00116$;Primo group s.r.o.$;2318$;Tekuté mıdlo 1l Clear Body Orchidea$;Ks$;9.50$;144
00020$;737794$;00116$;Primo group s.r.o.$;2365$;Tekuté mıdlo 500ml Clear Body Oceán$;Ks$;15.90$;240
00020$;737794$;00116$;Primo group s.r.o.$;3644$;Univerzal Primona/HIT Industrial 1L$;ks$;9.02$;240
00021$;737794$;00029$;Severochema v.d. Liberec$;2247$;Aceton èistı 9l kanystr$;kan$;393.87$;10
00021$;737794$;00029$;Severochema v.d. Liberec$;1659$;Benzín technickı 4l$;kan$;209.50$;10
00021$;737794$;00029$;Severochema v.d. Liberec$;1999$;Líh technickı 4l$;kan$;205.52$;2
00021$;737794$;00029$;Severochema v.d. Liberec$;2345$;Pepo 1000ml tekutı podpalovaè$;ks$;41.00$;24
00021$;737794$;00029$;Severochema v.d. Liberec$;2077$;Pepo 320g podpalovaè pevnı$;ks$;16.47$;1800
00021$;737794$;00029$;Severochema v.d. Liberec$;1266$;Øedidlo nitro 4l 6000$;kan$;150.91$;10
00021$;737794$;00029$;Severochema v.d. Liberec$;0151$;Øedidlo nitro 9l 6000 kanystr$;kan$;295.95$;15
00021$;737794$;00029$;Severochema v.d. Liberec$;0854$;Øedidlo syntetik 4l 6006$;kan$;138.17$;1
00021$;737794$;00029$;Severochema v.d. Liberec$;0152$;Øedidlo syntetik 9l 6006 kanystr$;kan$;257.26$;1
00021$;737794$;00029$;Severochema v.d. Liberec$;4354$;Toluen 9l$;kan$;298.94$;16
00022$;737794$;00358$;KARKO PAPER s.r.o.$;4677$;Papírové ruèníky role 2vr PK MaxiCar6130$;rol$;36.80$;720
00022$;737794$;00358$;KARKO PAPER s.r.o.$;4642$;Papírové ruèníky role 2vr PK Midi 455VPL$;rol$;15.99$;576
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;1732$;Drátìnka nerez Starlit Jumbo 40g 7x7cm$;ks$;6.58$;288
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;5750$;Houbièka nadobí po 10ks 8x5x2.5cm$;tyè$;5.35$;1200
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;1954$;Houbièka nádobí s drákou po 10ks 10x7cm$;tyè$;14.44$;600
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;2780$;Koštì èirokové 5x šité š.28cm  d.130cm$;ks$;66.16$;20
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;2209$;Lopata AL velká 34x35cm$;ks$;75.74$;30
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;5970$;Sáèky do koše 35l 50x60 /6mi 50ks èerné$;rol$;7.90$;800
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;1738$;Textilní rukavice Polomáè. ÈERNE è.10/XL$;pár$;7.60$;240
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;5623$;Textilní rukavice Polomáèené è.9 bílé$;pár$;7.28$;240
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;3482$;Textilní rukavice Polomáèené è.10 bílé$;pár$;7.28$;240
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;1515$;Utìrka houbová 5ks 15x18cm$;bal$;13.64$;160
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;0999$;Utìrka UNI Petr 34x38cm 110g zelená$;ks$;2.12$;500
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;0607$;Utìrka UNI Petr 38x38cm 110g modrá$;ks$;2.12$;880
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;5990$;Utìrka UNI Petr 38x38cm 110g rùová$;ks$;2.12$;880
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;3460$;\O\Oblek jednorázovı$;ks$;114.50$;100
00023$;737794$;00590$;Zempomarket a.s. Beèváry$;2160$;Smeták DR nelak. s holí 120cm 5111/611$;ks$;67.92$;90
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;3472$;Houbièka nádobí velká s bílım Padem 13x7$;ks$;7.50$;50
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;3073$;Mop drák Speedy/Flipper 40cm s magnetem$;ks$;320.00$;30
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;4192$;Mop NN bavlnìnı Speedy 40cm uni 2xjazyk$;ks$;63.00$;100
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;5718$;Mop NN bavlnìnı Sprint PLUS 40cm 2xkapsa$;ks$;68.00$;100
00024$;737794$;01007$;Augustin Pecha-Mopservis s.r.o.$;5003$;Pad ruèní èernı vysokı-S$;ks$;25.00$;100
00025$;737794$;00087$;Eastmop spol.s r.o.$;0472$;Stojan na odpad s nášl Pedalbag 2xvíko$;ks$;4125.00$;1
00025$;737794$;00087$;Eastmop spol.s r.o.$;5774$;Košík na vozík Maxi boèní$;ks$;256.40$;5
00025$;737794$;00087$;Eastmop spol.s r.o.$;5723$;Košík na vozík zadní úchyt$;ks$;133.00$;2
00025$;737794$;00087$;Eastmop spol.s r.o.$;2378$;Úklidovı vozík 1x17 základní$;ks$;1396.25$;5
00025$;737794$;00087$;Eastmop spol.s r.o.$;5739$;Vloka do dímaèe$;ks$;27.92$;5
00025$;737794$;00087$;Eastmop spol.s r.o.$;4958$;Vìdro 17L k uklidovému vozíku$;ks$;87.92$;2
00026$;737794$;00629$;KALVEI, s.r.o.$;3535$;Osvìovaè vzduchu EASY náplò Apple$;ks$;68.50$;12
00026$;737794$;00629$;KALVEI, s.r.o.$;3504$;Osvìovaè vzduchu EASY náplò Kiwi/Grep$;ks$;68.50$;12
00026$;737794$;00629$;KALVEI, s.r.o.$;4628$;Møíka do pisoáru*Wave* Mango oran$;ks$;46.50$;100
00027$;737794$;00527$;SCA Hygiene products s.r.o.$;4667$;\o\Pap.ruè.ZZ 2vr.Tork 150299 4746ut bíl$;kar$;718.50$;2
00027$;737794$;00527$;SCA Hygiene products s.r.o.$;1864$;Papírové ruèníky role 1vr Tork 510137 bí$;rol$;663.18$;4
00027$;737794$;00527$;SCA Hygiene products s.r.o.$;5312$;Papírové ruèníky ZZ 2vr Tork 100288 Bílá$;ks$;35.74$;210
00028$;737795$;00078$;Vamtex s.r.o. Vamberk$;0826$;Hadr na podlahu tkanı SOÒA 60x60cm$;ks$;14.23$;800
00028$;737795$;00078$;Vamtex s.r.o. Vamberk$;4074$;Hadr na podlahu tkanı Venda 60x60cm$;ks$;16.91$;300
00028$;737795$;00078$;Vamtex s.r.o. Vamberk$;2659$;Hadr na podlahu tkanı Venda 60x90cm$;ks$;24.71$;100
00029$;737795$;00087$;Eastmop spol.s r.o.$;0464$;stojan na odpad s nášl Pedalbag vík.èerv$;ks$;2221.00$;5
00030$;737796$;00095$;Marca cz s.r.o. Praha$;4954$;Koupelny Sanytol 500ml MR$;ks$;64.11$;240
00031$;737796$;00638$;Cormen Bystøice$;0442$;Cleamen 520 5l dezinfekce$;kan$;389.60$;6
00031$;737796$;00638$;Cormen Bystøice$;3913$;\o\Cleamen 123 5l$;Ks$;475.32$;2
00031$;737796$;00638$;Cormen Bystøice$;2488$;Cleamen 100/200 1l denní uklid$;ks$;102.46$;12
00031$;737796$;00638$;Cormen Bystøice$;2768$;Cleamen 100/200 5l denní uklid$;kan$;429.27$;10
00031$;737796$;00638$;Cormen Bystøice$;3953$;Cleamen 101/201 5l osvìovaè neutralizát$;kan$;370.79$;8
00031$;737796$;00638$;Cormen Bystøice$;2734$;Cleamen 110 1l sklenìné plochy s MR$;ks$;38.95$;36
00031$;737796$;00638$;Cormen Bystøice$;0306$;Cleamen 112 1l okna a rámy$;ks$;35.72$;24
00031$;737796$;00638$;Cormen Bystøice$;5849$;Cleamen 131 5l na koberce$;kan$;263.35$;2
00031$;737796$;00638$;Cormen Bystøice$;3999$;Cleamen 145 5l strojní$;kan$;205.92$;12
00031$;737796$;00638$;Cormen Bystøice$;4153$;Cleamen 210 1l odmašovaè$;ks$;51.97$;24
00031$;737796$;00638$;Cormen Bystøice$;1582$;Cleamen 220 1l nerez$;ks$;100.30$;12
00031$;737796$;00638$;Cormen Bystøice$;1759$;Cleamen 230 6kg strojní mytí nádobí$;kan$;286.48$;5
00031$;737796$;00638$;Cormen Bystøice$;4351$;Cleamen 231 5l strojní oplach nádobí$;kan$;258.51$;3
00031$;737796$;00638$;Cormen Bystøice$;2325$;Cleamen 240 1,1 kg trouby,gril MR$;ks$;85.10$;36
00031$;737796$;00638$;Cormen Bystøice$;1008$;Cleamen 302/402 1l osvìovaè-neutralizát$;ks$;119.11$;24
00031$;737796$;00638$;Cormen Bystøice$;4453$;Cleamen 310 750ml wc èistiè$;Ks$;28.77$;51
00031$;737796$;00638$;Cormen Bystøice$;1435$;Cleamen 410 1l koupelny$;ks$;43.80$;384
00031$;737796$;00638$;Cormen Bystøice$;2221$;Cleamen 410 5l koupelny$;kan$;143.99$;5
00031$;737796$;00638$;Cormen Bystøice$;3461$;Dezinf.ruce Isolda bezopl.5l virucidní$;kan$;475.32$;3
00031$;737796$;00638$;Cormen Bystøice$;2173$;Krém na ruce Isolda 100ml šalvìj antibak$;ks$;14.22$;250
00031$;737796$;00638$;Cormen Bystøice$;3837$;Krystal 750ml MR UNI dezinfekce bez chlo$;ks$;41.59$;576
00031$;737796$;00638$;Cormen Bystøice$;2433$;Krystal Pine Sanan 5l$;kan$;103.36$;10
00031$;737796$;00638$;Cormen Bystøice$;3804$;Krystal Pine Sanan 750ml$;ks$;21.70$;34
00031$;737796$;00638$;Cormen Bystøice$;5712$;Lahev aplikaèní øedící 1l$;ks$;13.20$;12
00031$;737796$;00638$;Cormen Bystøice$;5937$;Leštìnka Krystal 750ml MR$;ks$;40.72$;18
00031$;737796$;00638$;Cormen Bystøice$;5764$;Møíka do pisoaru vonná *Cleamen*modr/ze$;Ks$;26.52$;60
00031$;737796$;00638$;Cormen Bystøice$;2588$;Mıdlovı èistiè Krystal 750ml vèelí vosk$;ks$;19.04$;54
00031$;737796$;00638$;Cormen Bystøice$;2295$;Okna Krystal 5l$;kan$;85.00$;2
00031$;737796$;00638$;Cormen Bystøice$;1056$;Tekuté mıdlo 5l Vakavo Love Herbal bílé$;kan$;54.71$;108
00031$;737796$;00638$;Cormen Bystøice$;1412$;Utìrka Cleamax Fine zelená$;ks$;19.00$;12
00031$;737796$;00638$;Cormen Bystøice$;5545$;Vonnı olej Krystal 750ml Black$;ks$;67.66$;18
00031$;737796$;00638$;Cormen Bystøice$;4909$;Vonnı olej Krystal 750ml rùovı$;ks$;62.22$;18
00031$;737796$;00638$;Cormen Bystøice$;5930$;WC èistiè Krystal EKO 750ml$;ks$;20.33$;34
00032$;737796$;00032$;Procter & Gamble Rakovnik$;0351$;Nádobí Jar 450ml Citrón$;ks$;17.77$;1344
00032$;737796$;00032$;Procter & Gamble Rakovnik$;3011$;Nádobí Jar 900ml Teatree sensitive$;ks$;27.14$;720
00032$;737796$;00032$;Procter & Gamble Rakovnik$;0389$;Nádobí Jar 5l PROFI$;ks$;139.73$;144
00033$;737796$;00030$;Henkel CR s.r.o. Praha$;5486$;Avivá Silan 1,8l Fresh Sky$;ks$;52.92$;16
00033$;737796$;00030$;Henkel CR s.r.o. Praha$;5740$;Avivá Silan 800ml Aroma Frangipani$;ks$;33.50$;12
